Date,actual,predicted
2024-10-30,15768.0,15530.215765936668
2024-10-31,15695.5,15545.303403535943
2024-11-01,15713.0,15558.44851093537
2024-11-04,15842.0,15552.725390411959
2024-11-05,15790.0,15554.454783532601
2024-11-06,15665.0,15552.263997090457
2024-11-07,15818.2001953125,15522.734951408267
2024-11-08,15558.0,15525.817269404088
2024-11-11,15647.2001953125,15519.27220439199
2024-11-12,15765.0,15519.079066872746
2024-11-13,15788.900390625,15519.302805454041
2024-11-14,15847.2001953125,15515.76034860364
2024-11-15,15933.2998046875,15522.059659293142
2024-11-18,15891.2998046875,15536.412064638165
2024-11-19,15806.099609375,15527.460680214679
2024-11-20,15817.099609375,15538.203048373503
2024-11-21,15913.0,15548.00863611394
2024-11-22,15816.900390625,15544.439176413836
2024-11-25,15940.0,15535.690163296149
2024-11-26,15901.2001953125,15530.415676176712
2024-11-27,15930.0,15527.422972864108
2024-11-28,15863.5,15526.392217485329
2024-11-29,15878.0,15525.99790951746
2024-12-02,15829.0,15518.561231242607
2024-12-03,15910.0,15518.444932968587
2024-12-04,15940.0,15515.096199452975
2024-12-05,15906.599609375,15509.66443297588
2024-12-06,15839.7998046875,15511.431547332502
2024-12-09,15825.7998046875,15507.879166997818
2024-12-10,15864.0,15522.84774361656
2024-12-11,15908.0,15523.045012745597
2024-12-12,15963.0,15518.366306197904
2024-12-13,15967.400390625,15527.129045569296
2024-12-16,16025.7998046875,15527.878467064169
2024-12-17,15955.0,15538.407995894226
2024-12-18,15926.2001953125,15549.906094611322
2024-12-19,16145.2998046875,15566.85764550639
2024-12-20,15981.2998046875,15548.81334155994
2024-12-23,16159.2998046875,15529.901638649902
2024-12-24,16217.599609375,15530.432899062884
2024-12-25,15970.7998046875,15507.196436418424
2024-12-26,15069.400390625,15513.213385121131
2024-12-27,16189.0,15508.140870019643
2024-12-30,16178.0,15523.674803607868
2024-12-31,16085.599609375,15535.814844350005
2025-01-02,16230.5,15532.596139757969
2025-01-03,16201.099609375,15539.39147666379
2025-01-06,16178.7998046875,15524.366178212542
2025-01-07,16179.099609375,15521.16462469553
2025-01-08,16157.7001953125,15542.563592830289
2025-01-09,16187.599609375,15539.14259984043
2025-01-10,16237.0,15548.855018223692
2025-01-13,16268.0,15562.37272573596
2025-01-14,16295.2001953125,15564.019395132782
2025-01-15,16320.0,15573.08259909047
2025-01-16,16360.7998046875,15542.584813453092
2025-01-17,16368.7998046875,15553.807206038166
2025-01-20,16367.099609375,15541.897395234253
2025-01-21,16245.0,15541.891630336933
2025-01-22,16330.7998046875,15536.675826666253
2025-01-23,16232.7998046875,15528.806568458385
2025-01-24,16230.900390625,15530.20894156953
2025-01-27,16164.900390625,15526.147881756622
2025-01-28,16155.599609375,15544.047249546564
2025-01-29,15881.2001953125,15538.319183890582
2025-01-30,16238.0,15537.785669269417
2025-01-31,16274.5,15538.826193997736
2025-02-03,16341.2998046875,15540.699070773855
2025-02-04,16320.0,15560.16679847538
2025-02-05,16299.099609375,15554.707378733598
2025-02-06,16298.099609375,15545.779362205247
2025-02-07,16327.0,15547.856497622128
2025-02-10,16314.7001953125,15564.712374439629
2025-02-11,16330.099609375,15558.210028547168
2025-02-12,16343.2998046875,15558.30893526936
2025-02-13,16375.0,15552.834051243857
2025-02-14,16219.0,15545.921176175685
2025-02-17,16173.0,15548.57585847767
2025-02-18,16220.0,15547.707762768712
2025-02-19,16317.0,15549.762260925578
2025-02-20,16346.400390625,15545.54701625343
2025-02-21,16245.099609375,15548.313906498122
2025-02-24,16278.0,15564.789830433685
2025-02-25,16279.2998046875,15571.484703884049
2025-02-26,16314.0,15582.348742254246
2025-02-27,16367.400390625,15585.91912370128
2025-02-28,16553.69921875,15607.895637244572
2025-03-03,16522.0,15600.955953027575
2025-03-04,16451.19921875,15628.343088543019
2025-03-05,16379.0,15639.547018408417
2025-03-06,16268.900390625,15639.110685086842
2025-03-07,16322.099609375,15665.012701010119
2025-03-10,16292.599609375,15663.021314135523
2025-03-11,16324.0,15700.995635713905
2025-03-12,16433.900390625,15708.660074468602
2025-03-13,16305.599609375,15696.140944224902
2025-03-14,16259.2998046875,15712.793592446613
2025-03-17,16321.0,15683.691786933694
2025-03-18,16370.0,15695.834654728162
2025-03-19,16514.5,15719.065484981295
2025-03-20,16330.2998046875,15712.737702588936
2025-03-21,16428.5,15722.263975180922
2025-03-24,16519.0,15720.804432239693
2025-03-25,16575.80078125,15711.8737007441
2025-03-26,16621.0,15722.00989545124
2025-03-27,16629.0,15738.62767906342
2025-03-28,16560.900390625,15745.173729943444
2025-03-31,16575.0,15767.915852297496
2025-04-01,16652.0,15770.390066455599
2025-04-02,16731.400390625,15769.024223433295
2025-04-03,16739.0,15767.740555378195
2025-04-04,16739.80078125,15866.961742349116
2025-04-07,16738.0,15932.117446007978
2025-04-08,16855.69921875,15921.912046206573
2025-04-09,17051.900390625,15947.419649156958
2025-04-10,16805.5,15904.622018521071
2025-04-11,16833.80078125,16040.393399308645
2025-04-14,16788.0,15988.976326425793
2025-04-15,16780.0,15971.431081833662
2025-04-16,16813.5,15996.680081246135
2025-04-17,16794.599609375,16036.227926203539
2025-04-21,16794.599609375,16032.472658881521
2025-04-22,16814.900390625,16055.379776469836
2025-04-23,16858.099609375,16024.90938662623
2025-04-24,16846.0,16023.08790616797
2025-04-25,16778.5,16005.836459839178
2025-04-28,16823.0,16026.553488828215
2025-04-29,16795.0,16029.141174493892
2025-04-30,16711.900390625,16016.681857520445
2025-05-01,16545.900390625,16021.052347980338
2025-05-02,16606.0,16011.651980531436
2025-05-05,16460.0,16021.37919222177
2025-05-06,16421.5,16021.337047674448
2025-05-07,16432.0,16025.251726263206
2025-05-08,16492.599609375,16021.840117376796
2025-05-09,16538.30078125,16006.187988780017
2025-05-12,16543.0,16015.282721660376
2025-05-13,16688.80078125,15978.10502601293
2025-05-14,16599.400390625,15976.470381468178
2025-05-15,16558.19921875,15978.659829967568
2025-05-16,16511.80078125,15952.453518872508
2025-05-19,16487.0,15955.72772535459
2025-05-20,16428.0,15965.906665735809
2025-05-21,16403.0,15959.733476772532
2025-05-22,16347.599609375,15975.69151714344
2025-05-23,16356.900390625,15958.411600400126
2025-05-26,16211.0,15981.414515217119
2025-05-27,16243.5,15982.064152466126
2025-05-28,16279.0,15949.791788266459
2025-05-29,16286.0,15962.460195778733
2025-05-30,16293.0,15953.097810922884
2025-06-02,16322.0,15951.972228723545
2025-06-03,16288.5,15950.226488619937
2025-06-04,16332.400390625,15935.448133016833
2025-06-05,16291.5,15939.723711772063
2025-06-06,16246.400390625,15946.595831171458
2025-06-09,16309.0,15933.474566762108
2025-06-10,16278.7998046875,15929.07196329732
2025-06-11,16247.7998046875,15915.12745136361
2025-06-12,15778.0,15918.524459027127
2025-06-13,16164.5,15906.874776393715
2025-06-16,16282.599609375,15931.620079237127
2025-06-17,15801.0,15916.348243897437
2025-06-18,16275.0,15926.637786108393
2025-06-19,15598.5,15932.301806070087
2025-06-20,16390.0,15928.859869397797
2025-06-23,16431.0,15935.76400626398
2025-06-24,16370.0,15926.29248183424
2025-06-25,16290.0,15900.737603978263
2025-06-26,16290.0,15910.862503762288
2025-06-27,16222.7998046875,15901.029235601332
2025-06-30,16229.0,15896.65079043875
2025-07-01,16230.0,15892.309879715707
2025-07-02,16236.400390625,15885.951036091774
2025-07-03,16235.0,15883.321958092354
2025-07-04,16203.7001953125,15875.742787939826
2025-07-07,16178.0,15873.67057759522
2025-07-08,16318.900390625,15890.383659357885
2025-07-09,16261.0,15882.942002319536
2025-07-10,16235.0,15879.66267075561
2025-07-11,16209.099609375,15873.292882434742
2025-07-14,16222.0,15879.123461255367
2025-07-15,16256.2001953125,15891.842922715436
2025-07-16,16252.099609375,15889.94073325073
2025-07-17,16271.2001953125,15888.821251292324
2025-07-18,16329.7001953125,15879.572052901667
2025-07-21,16321.0,15882.615732166592
2025-07-22,16329.5,15883.78080416136
2025-07-23,16245.2998046875,15877.778833726505
2025-07-24,16266.099609375,15872.312847554584
2025-07-25,16307.0,15867.08894737259
2025-07-28,16353.0,15864.498099511453
2025-07-29,16398.80078125,15868.08639787944
2025-07-30,16367.900390625,15876.21006977696
2025-07-31,16426.80078125,15876.614066996399
2025-08-01,16483.0,15885.973023195626
2025-08-04,16483.0,15898.686755947589
2025-08-05,16362.0,15870.69341087499
2025-08-06,16377.5,15881.42715545363
2025-08-07,16334.7001953125,15873.524336275857
2025-08-08,16300.0,15874.492625108542
2025-08-11,16249.0,15867.103413315128
2025-08-12,16298.0,15882.533603348636
2025-08-13,16248.2001953125,15866.865931370354
2025-08-14,16109.0,15862.974106710963
2025-08-15,16169.0,15865.608171898148
2025-08-18,16196.0,15862.096135449474
2025-08-19,16205.400390625,15860.320191104394
2025-08-20,16275.2001953125,15863.73031416218
2025-08-21,16263.599609375,15865.806045646463
2025-08-22,16339.7001953125,15879.955875923943
2025-08-25,16227.0,15844.990516233518
2025-08-26,16267.0,15855.246809033142
2025-08-27,16299.2001953125,15850.00351279734
2025-08-28,16314.0,15852.704037941665
2025-08-29,16344.2998046875,15847.198957536766
2025-09-01,16409.0,15862.471338967498
2025-09-02,16405.19921875,15863.008227430199
2025-09-03,16443.900390625,15878.905275175639
2025-09-04,16463.0,15868.794325663222
2025-09-05,16452.099609375,15864.78221549898
2025-09-08,16392.0,15863.912659788632
2025-09-09,16446.099609375,15863.650751770665
2025-09-10,16449.900390625,15856.923485158468
2025-09-11,16439.0,15854.800296176094
2025-09-12,16413.599609375,15849.97160255363
2025-09-15,16401.0,15850.092602049557
