feature,lag,correlation,abs_correlation
VIX,51,0.028218962918777058,0.028218962918777058
VIX,30,0.028116934271142337,0.028116934271142337
OIL,28,-0.027562927056400927,0.027562927056400927
IHSG,68,-0.02727546087003546,0.02727546087003546
GOLD,15,-0.027269834381140765,0.027269834381140765
IHSG,12,0.027209253478649286,0.027209253478649286
IHSG,75,0.02720022123896408,0.02720022123896408
BI_rate,73,-0.027192962788307108,0.027192962788307108
CPI,64,-0.02699640433380247,0.02699640433380247
CPI,2,-0.026843559490932235,0.026843559490932235
OIL,6,-0.026614420795068115,0.026614420795068115
CPI,65,0.02659960560673318,0.02659960560673318
VIX,90,-0.026544242040571576,0.026544242040571576
GOLD,81,-0.026514566149094046,0.026514566149094046
VIX,70,-0.02649864947190721,0.02649864947190721
IHSG,35,0.026282502096086117,0.026282502096086117
BI_rate,21,-0.02606307985550288,0.02606307985550288
VIX,48,0.026044150537781134,0.026044150537781134
VIX,58,-0.026023787658513594,0.026023787658513594
VIX,62,-0.025857974977149634,0.025857974977149634
OIL,89,-0.025807370134514732,0.025807370134514732
US_rate,44,-0.025743935316407753,0.025743935316407753
SP500,44,-0.025722968969796634,0.025722968969796634
OIL,4,-0.025701423184466537,0.025701423184466537
VIX,73,0.02565963450618541,0.02565963450618541
VIX,19,0.025653945382470445,0.025653945382470445
CPI,54,0.025646904495110784,0.025646904495110784
OIL,51,0.02545835468600235,0.02545835468600235
IHSG,50,0.02541624257095624,0.02541624257095624
GOLD,50,-0.02534637494518891,0.02534637494518891
US_rate,89,-0.025320896273690666,0.025320896273690666
US_rate,65,0.025318650472548984,0.025318650472548984
GOLD,58,0.02529116603042758,0.02529116603042758
GOLD,3,0.0251811684134477,0.0251811684134477
OIL,2,-0.025161169225127015,0.025161169225127015
US_rate,56,0.025110300314083338,0.025110300314083338
CPI,40,-0.02510389360817096,0.02510389360817096
GOLD,74,-0.02508417939972224,0.02508417939972224
GOLD,75,-0.025059585697222542,0.025059585697222542
IHSG,81,-0.025003915180267334,0.025003915180267334
SP500,60,0.024850107189529073,0.024850107189529073
VIX,35,-0.024768193369332964,0.024768193369332964
IHSG,65,0.02476151519806826,0.02476151519806826
GOLD,40,-0.024654178057518576,0.024654178057518576
SP500,21,0.024648095536938606,0.024648095536938606
IHSG,17,-0.024646274744322853,0.024646274744322853
CPI,52,-0.02454443430609374,0.02454443430609374
SP500,89,-0.024457646041641606,0.024457646041641606
IHSG,54,-0.024441469463739256,0.024441469463739256
SP500,38,0.024347056606958177,0.024347056606958177
IHSG,60,0.024295816858664315,0.024295816858664315
BI_rate,70,0.02405457514796751,0.02405457514796751
US_rate,32,0.024027703101801273,0.024027703101801273
SP500,22,0.024002110961199724,0.024002110961199724
OIL,31,0.023899464132073084,0.023899464132073084
CPI,3,0.023789472707651672,0.023789472707651672
US_rate,31,0.02368949606459352,0.02368949606459352
VIX,34,-0.023671794076693044,0.023671794076693044
VIX,22,-0.023623266279827804,0.023623266279827804
VIX,17,0.023538345551881307,0.023538345551881307
VIX,31,-0.02351855419605487,0.02351855419605487
GOLD,39,-0.023453579783312688,0.023453579783312688
OIL,5,0.023422481092519598,0.023422481092519598
BI_rate,41,-0.023418965295074198,0.023418965295074198
SP500,76,-0.02330249782201782,0.02330249782201782
SP500,70,0.02318319120780802,0.02318319120780802
BI_rate,18,-0.023123338645905114,0.023123338645905114
OIL,22,0.02312091917215438,0.02312091917215438
BI_rate,42,0.022992263003610985,0.022992263003610985
US_rate,53,0.022803661530423243,0.022803661530423243
US_rate,79,0.02259641917350398,0.02259641917350398
IHSG,13,-0.022512528127973476,0.022512528127973476
VIX,5,0.02245457417615059,0.02245457417615059
IHSG,89,0.02216543307849586,0.02216543307849586
US_rate,36,0.022150907724263137,0.022150907724263137
CPI,58,0.022057823352876704,0.022057823352876704
BI_rate,80,0.022031692312371898,0.022031692312371898
BI_rate,28,-0.022027541843539958,0.022027541843539958
CPI,44,-0.021953066047248164,0.021953066047248164
US_rate,81,0.021937056464769712,0.021937056464769712
IHSG,32,-0.021865766835701426,0.021865766835701426
SP500,30,-0.02184565002971093,0.02184565002971093
SP500,87,-0.02181999792470229,0.02181999792470229
US_rate,75,0.021777790409717925,0.021777790409717925
US_rate,45,0.021764693461222236,0.021764693461222236
GOLD,20,0.021695037273787042,0.021695037273787042
BI_rate,32,0.021692840648426377,0.021692840648426377
OIL,77,0.021684003506280573,0.021684003506280573
VIX,29,-0.021645143096071264,0.021645143096071264
US_rate,77,-0.021610204831156457,0.021610204831156457
